npi1,npi2,paircount,benecount,samedaycount
1003029950,1003911058,942,43,7
1003029950,1023069622,531,52,3
1003029950,1053363119,4276,165,644
1003029950,1154370781,151,28,12
1003029950,1164532172,314,21,4
1003029950,1194847186,110,16,2
1003029950,1245226182,128,17,2
1003029950,1245337138,396,32,0
1003029950,1265457022,79,19,4
1003029950,1275869117,270,15,1
1003029950,1316965692,85,11,4
1003029950,1356334296,102,11,0
1003029950,1376766253,135,26,0
1003029950,1396731238,143,13,0
1003029950,1417968629,315,18,4
1003029950,1497702781,116,17,3
1003029950,1518979426,102,12,0
1003029950,1528006020,126,31,1
1003029950,1588650428,134,19,12
1003029950,1659368652,625,33,5
1003029950,1700998788,125,18,1
1003029950,1720094220,118,16,0
1003029950,1780696401,274,28,6
1003029950,1801806203,489,14,3
1003029950,1811983539,165,19,2
1003029950,1851324941,172,20,1
1003029950,1851387781,116,24,2
1003029950,1871754473,255,25,2
1003029950,1891782074,184,25,3
1003029950,1912911017,120,14,2
1003029950,1912922329,56,12,0
1003029950,1952348047,93,13,1
1003072406,1184665663,97,20,0
1003076571,1417975061,479,24,3
1003162181,1184665663,165,22,42
1003170176,1053363119,413,24,33
1003183252,1437368891,223,17,25
1003183252,1477643872,65,12,0
1003244435,1023046638,30,11,0
1003244435,1023339348,58,13,0
1003244435,1083691612,107,15,1
1003244435,1124005731,109,13,0
1003244435,1437368891,55,11,0
1003244435,1437374600,138,18,0
1003244435,1720062524,1467,47,105
1003244435,1720221211,173,17,1
1003244435,1770581084,51,12,0
1003244435,1942307822,135,18,0
1003803222,1023069622,181,42,13
1003803222,1053363119,1025,154,272
1003803222,1104923184,59,12,0
1003803222,1114914322,28,12,0
1003803222,1154370781,46,21,12
1003803222,1245226182,63,23,14
1003803222,1265457022,30,11,4
1003803222,1376530576,37,13,0
1003803222,1376766253,54,23,2
1003803222,1396731238,64,26,15
1003803222,1437368891,100,12,2
1003803222,1457340739,37,12,4
1003803222,1497842553,51,16,5
1003803222,1528006020,83,27,6
1003803222,1548287121,30,14,3
1003803222,1588650428,42,14,1
1003803222,1588689368,43,13,2
1003803222,1598754145,34,11,0
1003803222,1669475166,69,18,0
1003803222,1811983539,45,18,4
1003803222,1851387781,58,27,11
1003803222,1861489072,47,16,3
1003803222,1891782074,72,31,20
1003803222,1912911017,46,14,3
1003803222,1912922329,34,14,7
1003803222,1952348047,102,26,0
1003803222,1952398166,40,14,1
1003834086,1184665663,248,22,2
1003834086,1437368891,107,11,0
1003834136,1033144639,26,11,0
1003834136,1063559557,236,25,0
1003834136,1063567691,2012,136,341
1003834136,1093924458,46,11,0
1003834136,1184845158,67,14,0
1003834136,1285678938,221,31,0
1003834136,1336158401,87,14,0
1003834136,1437368891,525,66,1
1003834136,1558548826,133,20,0
1003834136,1558570648,35,17,0
1003834136,1760472203,241,22,0
1003834136,1790766681,62,12,4
1003834136,1841401221,86,15,0
1003834136,1841402336,45,11,0
1003834136,1871754473,118,17,0
1003834136,1881928372,115,18,0
1003834136,1942533393,112,19,0
1003837493,1063567691,494,34,92
1003837493,1265785422,699,25,1
1003837493,1437368891,424,22,4
1003838384,1013938729,94,35,15
1003838384,1154312221,148,44,39
1003838384,1174511919,45,23,3
1003838384,1275718769,36,23,0
1003838384,1376526749,50,12,4
1003838384,1417975061,209,47,4
1003838384,1477653228,44,24,1
1003838384,1548220213,54,12,9
1003838384,1578522694,100,34,13
1003838384,1588699342,31,19,4
1003838384,1619077476,41,22,1
1003838384,1659475895,28,18,1
1003838384,1801021290,59,13,0
1003838384,1861482903,65,31,0
1003838384,1871708297,140,38,37
1003845041,1053491019,62,17,1
1003845041,1083819460,26,15,0
1003845041,1154373769,13,11,0
1003845041,1154460194,56,17,1
1003845041,1164537544,38,25,0
1003845041,1174598684,34,14,0
1003845041,1184665663,618,168,6
1003845041,1205161387,46,18,3
1003845041,1245239524,57,18,0
1003845041,1255302717,43,17,0
1003845041,1306010962,48,33,1
1003845041,1346228517,73,28,4
1003845041,1356317762,39,13,0
1003845041,1366641060,17,14,0
1003845041,1417922774,30,11,0
1003845041,1447227152,45,13,0
1003845041,1447247929,25,11,0
1003845041,1457552903,31,12,0
1003845041,1477553139,54,22,3
1003845041,1487847828,22,12,0
1003845041,1508187360,14,11,0
1003845041,1508970971,25,21,0
1003845041,1700991163,33,24,0
1003845041,1710048079,25,11,1
1003845041,1831177187,34,21,1
1003845041,1841305208,22,17,0
1003845041,1851454615,16,11,1
1003845041,1881646495,16,13,0
