npi1,npi2,paircount,benecount,samedaycount
1003029950,1003911058,482,29,7
1003029950,1023069622,277,37,2
1003029950,1053363119,2479,146,575
1003029950,1154370781,76,19,12
1003029950,1164532172,145,17,4
1003029950,1245226182,83,11,2
1003029950,1245337138,211,19,0
1003029950,1265457022,35,11,4
1003029950,1275869117,168,15,1
1003029950,1376766253,66,15,0
1003029950,1417968629,226,14,4
1003029950,1497702781,62,12,3
1003029950,1518979426,72,12,0
1003029950,1528006020,49,17,1
1003029950,1588650428,66,11,8
1003029950,1659368652,342,25,5
1003029950,1700998788,78,12,1
1003029950,1780696401,117,17,6
1003029950,1811983539,78,13,2
1003029950,1851387781,51,15,2
1003029950,1871754473,145,21,2
1003029950,1891782074,86,14,3
1003072406,1184665663,49,15,0
1003076571,1417975061,271,17,2
1003162181,1184665663,69,17,29
1003170176,1053363119,199,21,29
1003183252,1437368891,111,16,19
1003244435,1083691612,62,11,1
1003244435,1124005731,61,11,0
1003244435,1437374600,55,14,0
1003244435,1720062524,847,46,102
1003244435,1720221211,104,13,1
1003244435,1942307822,45,11,0
1003803222,1023069622,80,28,11
1003803222,1053363119,577,127,226
1003803222,1154370781,24,11,8
1003803222,1245226182,34,13,12
1003803222,1376766253,34,15,2
1003803222,1396731238,40,17,11
1003803222,1497842553,36,12,5
1003803222,1528006020,34,17,6
1003803222,1588689368,31,11,2
1003803222,1669475166,35,11,0
1003803222,1811983539,31,13,4
1003803222,1851387781,31,13,6
1003803222,1891782074,49,23,19
1003803222,1912911017,25,11,3
1003803222,1952348047,46,14,0
1003834086,1184665663,98,14,1
1003834136,1063559557,80,13,0
1003834136,1063567691,1257,136,341
1003834136,1285678938,158,23,0
1003834136,1437368891,254,48,1
1003834136,1558548826,72,12,0
1003834136,1558570648,23,12,0
1003834136,1760472203,146,14,0
1003834136,1871754473,64,11,0
1003834136,1942533393,67,11,0
1003837493,1063567691,236,30,72
1003837493,1265785422,320,22,1
1003837493,1437368891,189,16,1
1003838384,1013938729,53,29,9
1003838384,1154312221,113,39,31
1003838384,1174511919,21,13,3
1003838384,1275718769,23,16,0
1003838384,1417975061,105,33,4
1003838384,1477653228,23,17,0
1003838384,1578522694,83,30,13
1003838384,1588699342,22,15,4
1003838384,1619077476,25,14,1
1003838384,1659475895,16,11,1
1003838384,1801021290,38,12,0
1003838384,1861482903,44,23,0
1003838384,1871708297,96,29,31
1003845041,1154460194,32,12,1
1003845041,1174598684,24,12,0
1003845041,1184665663,317,127,6
1003845041,1306010962,28,20,1
1003845041,1346228517,44,21,4
1003845041,1477553139,29,13,3
1003845041,1831177187,21,14,1
1003845041,1891999272,41,13,0
1003845041,1952383226,21,11,0
1003846197,1053543074,148,13,4
1003846197,1093770489,498,32,14
1003846197,1376613208,224,21,3
1003846197,1396705539,3207,57,398
1003860164,1083887749,28,11,0
1003860164,1356772024,60,25,25
1003860164,1396858155,103,28,47
